"gene_symbol","go_id","go_description","p_adjusted"
"Aldh3b2","GO:0006067","ethanol metabolic process",3.76771635179655e-23
"Sult2a1","GO:0006067","ethanol metabolic process",3.76771635179655e-23
"Nme6","GO:0006221","pyrimidine nucleotide biosynthetic process",3.99329072459597e-23
"Nme3","GO:0006221","pyrimidine nucleotide biosynthetic process",3.99329072459597e-23
"Cmpk1","GO:0006221","pyrimidine nucleotide biosynthetic process",3.99329072459597e-23
"Nme4","GO:0006221","pyrimidine nucleotide biosynthetic process",3.99329072459597e-23
"Umps","GO:0006221","pyrimidine nucleotide biosynthetic process",3.99329072459597e-23
"Upp1","GO:0006221","pyrimidine nucleotide biosynthetic process",3.99329072459597e-23
"Nme7","GO:0006221","pyrimidine nucleotide biosynthetic process",3.99329072459597e-23
"Cda","GO:0006221","pyrimidine nucleotide biosynthetic process",3.99329072459597e-23
"Nme2","GO:0006221","pyrimidine nucleotide biosynthetic process",3.99329072459597e-23
"Uck1","GO:0006221","pyrimidine nucleotide biosynthetic process",3.99329072459597e-23
"Uckl1","GO:0006221","pyrimidine nucleotide biosynthetic process",3.99329072459597e-23
"Upp2","GO:0006221","pyrimidine nucleotide biosynthetic process",3.99329072459597e-23
"Nme1","GO:0006221","pyrimidine nucleotide biosynthetic process",3.99329072459597e-23
"Dut","GO:0006221","pyrimidine nucleotide biosynthetic process",3.99329072459597e-23
"Uck2","GO:0006221","pyrimidine nucleotide biosynthetic process",3.99329072459597e-23
"Nme6","GO:0072528","pyrimidine-containing compound biosynthetic process",5.17456362157706e-23
"Nme3","GO:0072528","pyrimidine-containing compound biosynthetic process",5.17456362157706e-23
"Cmpk1","GO:0072528","pyrimidine-containing compound biosynthetic process",5.17456362157706e-23
"Nme4","GO:0072528","pyrimidine-containing compound biosynthetic process",5.17456362157706e-23
"Umps","GO:0072528","pyrimidine-containing compound biosynthetic process",5.17456362157706e-23
"Upp1","GO:0072528","pyrimidine-containing compound biosynthetic process",5.17456362157706e-23
"Nme7","GO:0072528","pyrimidine-containing compound biosynthetic process",5.17456362157706e-23
"Cda","GO:0072528","pyrimidine-containing compound biosynthetic process",5.17456362157706e-23
"Nme2","GO:0072528","pyrimidine-containing compound biosynthetic process",5.17456362157706e-23
"Tk1","GO:0072528","pyrimidine-containing compound biosynthetic process",5.17456362157706e-23
"Uck1","GO:0072528","pyrimidine-containing compound biosynthetic process",5.17456362157706e-23
"Uckl1","GO:0072528","pyrimidine-containing compound biosynthetic process",5.17456362157706e-23
"Upp2","GO:0072528","pyrimidine-containing compound biosynthetic process",5.17456362157706e-23
"Nme1","GO:0072528","pyrimidine-containing compound biosynthetic process",5.17456362157706e-23
"Dut","GO:0072528","pyrimidine-containing compound biosynthetic process",5.17456362157706e-23
"Uck2","GO:0072528","pyrimidine-containing compound biosynthetic process",5.17456362157706e-23
"Rrm2b","GO:0009394","2'-deoxyribonucleotide metabolic process",2.80217201152085e-22
"Nme3","GO:0009394","2'-deoxyribonucleotide metabolic process",2.80217201152085e-22
"Cmpk1","GO:0009394","2'-deoxyribonucleotide metabolic process",2.80217201152085e-22
"Dpys","GO:0009394","2'-deoxyribonucleotide metabolic process",2.80217201152085e-22
"Upb1","GO:0009394","2'-deoxyribonucleotide metabolic process",2.80217201152085e-22
"Upp1","GO:0009394","2'-deoxyribonucleotide metabolic process",2.80217201152085e-22
"Cda","GO:0009394","2'-deoxyribonucleotide metabolic process",2.80217201152085e-22
"Rrm1","GO:0009394","2'-deoxyribonucleotide metabolic process",2.80217201152085e-22
"Tymp","GO:0009394","2'-deoxyribonucleotide metabolic process",2.80217201152085e-22
"Nme2","GO:0009394","2'-deoxyribonucleotide metabolic process",2.80217201152085e-22
"Upp2","GO:0009394","2'-deoxyribonucleotide metabolic process",2.80217201152085e-22
"Nme1","GO:0009394","2'-deoxyribonucleotide metabolic process",2.80217201152085e-22
"Dpyd","GO:0009394","2'-deoxyribonucleotide metabolic process",2.80217201152085e-22
"Rrm2","GO:0009394","2'-deoxyribonucleotide metabolic process",2.80217201152085e-22
"Dut","GO:0009394","2'-deoxyribonucleotide metabolic process",2.80217201152085e-22
"Xdh","GO:0009394","2'-deoxyribonucleotide metabolic process",2.80217201152085e-22
"Nme6","GO:0009259","ribonucleotide metabolic process",7.51158662374252e-22
"Nme3","GO:0009259","ribonucleotide metabolic process",7.51158662374252e-22
"Cmpk1","GO:0009259","ribonucleotide metabolic process",7.51158662374252e-22
"Dpys","GO:0009259","ribonucleotide metabolic process",7.51158662374252e-22
"Upb1","GO:0009259","ribonucleotide metabolic process",7.51158662374252e-22
"Nme4","GO:0009259","ribonucleotide metabolic process",7.51158662374252e-22
"Hprt1","GO:0009259","ribonucleotide metabolic process",7.51158662374252e-22
"Sult2a8","GO:0009259","ribonucleotide metabolic process",7.51158662374252e-22
"Sult2a4","GO:0009259","ribonucleotide metabolic process",7.51158662374252e-22
"Sult2a3","GO:0009259","ribonucleotide metabolic process",7.51158662374252e-22
"Umps","GO:0009259","ribonucleotide metabolic process",7.51158662374252e-22
"Upp1","GO:0009259","ribonucleotide metabolic process",7.51158662374252e-22
"Nme7","GO:0009259","ribonucleotide metabolic process",7.51158662374252e-22
"Cda","GO:0009259","ribonucleotide metabolic process",7.51158662374252e-22
"Sult2a7","GO:0009259","ribonucleotide metabolic process",7.51158662374252e-22
"Itpa","GO:0009259","ribonucleotide metabolic process",7.51158662374252e-22
"Nme2","GO:0009259","ribonucleotide metabolic process",7.51158662374252e-22
"Sult2a5","GO:0009259","ribonucleotide metabolic process",7.51158662374252e-22
"Impdh2","GO:0009259","ribonucleotide metabolic process",7.51158662374252e-22
"Uck1","GO:0009259","ribonucleotide metabolic process",7.51158662374252e-22
"Uckl1","GO:0009259","ribonucleotide metabolic process",7.51158662374252e-22
"Upp2","GO:0009259","ribonucleotide metabolic process",7.51158662374252e-22
"Nme1","GO:0009259","ribonucleotide metabolic process",7.51158662374252e-22
"Dpyd","GO:0009259","ribonucleotide metabolic process",7.51158662374252e-22
"Sult2a6","GO:0009259","ribonucleotide metabolic process",7.51158662374252e-22
"Uck2","GO:0009259","ribonucleotide metabolic process",7.51158662374252e-22
"Xdh","GO:0009259","ribonucleotide metabolic process",7.51158662374252e-22
"Sult2a1","GO:0009259","ribonucleotide metabolic process",7.51158662374252e-22
"Impdh1","GO:0009259","ribonucleotide metabolic process",7.51158662374252e-22
"Gmps","GO:0009259","ribonucleotide metabolic process",7.51158662374252e-22
"Nme6","GO:0019693","ribose phosphate metabolic process",1.38950104840989e-21
"Nme3","GO:0019693","ribose phosphate metabolic process",1.38950104840989e-21
"Cmpk1","GO:0019693","ribose phosphate metabolic process",1.38950104840989e-21
"Dpys","GO:0019693","ribose phosphate metabolic process",1.38950104840989e-21
"Upb1","GO:0019693","ribose phosphate metabolic process",1.38950104840989e-21
"Nme4","GO:0019693","ribose phosphate metabolic process",1.38950104840989e-21
"Hprt1","GO:0019693","ribose phosphate metabolic process",1.38950104840989e-21
"Sult2a8","GO:0019693","ribose phosphate metabolic process",1.38950104840989e-21
"Sult2a4","GO:0019693","ribose phosphate metabolic process",1.38950104840989e-21
"Sult2a3","GO:0019693","ribose phosphate metabolic process",1.38950104840989e-21
"Umps","GO:0019693","ribose phosphate metabolic process",1.38950104840989e-21
"Upp1","GO:0019693","ribose phosphate metabolic process",1.38950104840989e-21
"Nme7","GO:0019693","ribose phosphate metabolic process",1.38950104840989e-21
"Cda","GO:0019693","ribose phosphate metabolic process",1.38950104840989e-21
"Sult2a7","GO:0019693","ribose phosphate metabolic process",1.38950104840989e-21
"Itpa","GO:0019693","ribose phosphate metabolic process",1.38950104840989e-21
"Nme2","GO:0019693","ribose phosphate metabolic process",1.38950104840989e-21
"Sult2a5","GO:0019693","ribose phosphate metabolic process",1.38950104840989e-21
"Impdh2","GO:0019693","ribose phosphate metabolic process",1.38950104840989e-21
"Uck1","GO:0019693","ribose phosphate metabolic process",1.38950104840989e-21
"Uckl1","GO:0019693","ribose phosphate metabolic process",1.38950104840989e-21
"Upp2","GO:0019693","ribose phosphate metabolic process",1.38950104840989e-21
"Nme1","GO:0019693","ribose phosphate metabolic process",1.38950104840989e-21
"Dpyd","GO:0019693","ribose phosphate metabolic process",1.38950104840989e-21
"Sult2a6","GO:0019693","ribose phosphate metabolic process",1.38950104840989e-21
"Uck2","GO:0019693","ribose phosphate metabolic process",1.38950104840989e-21
"Xdh","GO:0019693","ribose phosphate metabolic process",1.38950104840989e-21
"Sult2a1","GO:0019693","ribose phosphate metabolic process",1.38950104840989e-21
"Impdh1","GO:0019693","ribose phosphate metabolic process",1.38950104840989e-21
